id|version|name|description|type
||10 CANE RUM|10 CANE RUM|SPIRITS
||151-PROOF RUM|151-PROOF RUM|SPIRITS
||99 BANANAS|99 BANANAS|SPIRITS
||ABSINTH RED|ABSINTH RED|SPIRITS
||ABSINTHE|ABSINTHE|SPIRITS
||ABSOLUT BERRY AÇAÍ VODKA|ABSOLUT BERRY AÇAÍ VODKA|SPIRITS
||ABSOLUT CITRON|ABSOLUT CITRON|SPIRITS
||ABSOLUT KURRANT|ABSOLUT KURRANT|SPIRITS
||ABSOLUT MANDARIN|ABSOLUT MANDARIN|SPIRITS
||ABSOLUT NEW ORLEANS VODKA|ABSOLUT NEW ORLEANS VODKA|SPIRITS
||ABSOLUT PEACH|ABSOLUT PEACH|SPIRITS
||ABSOLUT PEARS|ABSOLUT PEARS|SPIRITS
||ABSOLUT PEPPAR|ABSOLUT PEPPAR|SPIRITS
||ABSOLUT RASPBERRY|ABSOLUT RASPBERRY|SPIRITS
||ABSOLUT RUBY RED|ABSOLUT RUBY RED|SPIRITS
||ABSOLUT VANILLA VODKA|ABSOLUT VANILLA VODKA|SPIRITS
||ABSOLUT VODKA|ABSOLUT VODKA|SPIRITS
||AGED RUM|AGED RUM|SPIRITS
||AKVAVIT|AKVAVIT|SPIRITS
||AMBER RUM|AMBER RUM|SPIRITS
||APEROL|APEROL|SPIRITS
||APPLE BRANDY|APPLE BRANDY|SPIRITS
||APPLE PUCKER|APPLE PUCKER|SPIRITS
||APPLE SCHNAPPS|APPLE SCHNAPPS|SPIRITS
||APPLE VODKA|APPLE VODKA|SPIRITS
||APRICOT BRANDY|APRICOT BRANDY|SPIRITS
||AQUAVIT|AQUAVIT|SPIRITS
||BACARDI 151|BACARDI 151|SPIRITS
||BACARDI APPLE|BACARDI APPLE|SPIRITS
||BACARDI GOLD|BACARDI GOLD|SPIRITS
||BACARDI LIMON|BACARDI LIMON|SPIRITS
||BACARDI O|BACARDI O|SPIRITS
||BACARDI RAZZ|BACARDI RAZZ|SPIRITS
||BACARDI SUPERIOR RUM|BACARDI SUPERIOR RUM|SPIRITS
||BACARDI VANILLA RUM|BACARDI VANILLA RUM|SPIRITS
||BAJA ROSA|BAJA ROSA|SPIRITS
||BATIDA DE COCO|BATIDA DE COCO|SPIRITS
||BEEFEATER|BEEFEATER|SPIRITS
||BELLS WHISKEY|BELLS WHISKEY|SPIRITS
||BERENTZEN BUSHEL & BARREL|BERENTZEN BUSHEL & BARREL|SPIRITS
||BERENTZEN ICEMINT|BERENTZEN ICEMINT|SPIRITS
||BLACK ABSINTHE|BLACK ABSINTHE|SPIRITS
||BLACK CHERRY VODKA|BLACK CHERRY VODKA|SPIRITS
||BLACK HAUS|BLACK HAUS|SPIRITS
||BLACK RUM|BLACK RUM|SPIRITS
||BLACK VODKA|BLACK VODKA|SPIRITS
||BLACKBERRY BRANDY|BLACKBERRY BRANDY|SPIRITS
||BLUE ALIZE|BLUE ALIZE|SPIRITS
||BLUE TABOO|BLUE TABOO|SPIRITS
||BLUEBERRY SCHNAPPS|BLUEBERRY SCHNAPPS|SPIRITS
||BLUEBERRY VODKA|BLUEBERRY VODKA|SPIRITS
||BOLS GENEVER|BOLS GENEVER|SPIRITS
||BOMBAY SAPPHIRE GIN|BOMBAY SAPPHIRE GIN|SPIRITS
||BOURBON|BOURBON|SPIRITS
||BRANDY|BRANDY|SPIRITS
||BRASILLA CACHACA|BRASILLA CACHACA|SPIRITS
||BUNDABERG 280 RUM|BUNDABERG 280 RUM|SPIRITS
||BURNETT'S FRUIT PUNCH VODKA|BURNETT'S FRUIT PUNCH VODKA|SPIRITS
||BUTTER RIPPLE SCHNAPPS|BUTTER RIPPLE SCHNAPPS|SPIRITS
||BUTTERSCOTCH SCHNAPPS|BUTTERSCOTCH SCHNAPPS|SPIRITS
||CABO WABO BLANCO TEQUILA|CABO WABO BLANCO TEQUILA|SPIRITS
||CACHACA|CACHACA|SPIRITS
||CALVADOS|CALVADOS|SPIRITS
||CAMPARI|CAMPARI|SPIRITS
||CANADIAN CLUB WHISKY|CANADIAN CLUB WHISKY|SPIRITS
||CANADIAN WHISKEY|CANADIAN WHISKEY|SPIRITS
||CAPTAIN MORGAN'S SPICED RUM|CAPTAIN MORGAN'S SPICED RUM|SPIRITS
||CAPTAIN MORGAN'S TATTOO|CAPTAIN MORGAN'S TATTOO|SPIRITS
||CARAMEL INFUSED VODKA|CARAMEL INFUSED VODKA|SPIRITS
||CARIBBEAN RUM|CARIBBEAN RUM|SPIRITS
||CARIEL VANILLA VODKA|CARIEL VANILLA VODKA|SPIRITS
||CAZADORES ANEJO TEQUILA|CAZADORES ANEJO TEQUILA|SPIRITS
||CHARTREUSE|CHARTREUSE|SPIRITS
||CHERRY BRANDY|CHERRY BRANDY|SPIRITS
||CHERRY VODKA|CHERRY VODKA|SPIRITS
||CHERRY WHISKEY|CHERRY WHISKEY|SPIRITS
||CHIVAS REGAL|CHIVAS REGAL|SPIRITS
||CHOCOLATE SCHNAPPS|CHOCOLATE SCHNAPPS|SPIRITS
||CINNAMON SCHNAPPS|CINNAMON SCHNAPPS|SPIRITS
||CINNAMON WHISKEY|CINNAMON WHISKEY|SPIRITS
||CITRON VODKA|CITRON VODKA|SPIRITS
||COCONUT RUM|COCONUT RUM|SPIRITS
||COGNAC|COGNAC|SPIRITS
||COURVOISIER BRANDY|COURVOISIER BRANDY|SPIRITS
||CROWN ROYAL|CROWN ROYAL|SPIRITS
||CROWN ROYAL BLACK|CROWN ROYAL BLACK|SPIRITS
||DAMSON GIN|DAMSON GIN|SPIRITS
||DARK RUM|DARK RUM|SPIRITS
||DE KUYPER PEACHTREE|DE KUYPER PEACHTREE|SPIRITS
||DEWAR'S SCOTCH WHISKY|DEWAR'S SCOTCH WHISKY|SPIRITS
||DOM BENEDICTINE|DOM BENEDICTINE|SPIRITS
||DRAMBUIE|DRAMBUIE|SPIRITS
||DRY GIN|DRY GIN|SPIRITS
||EVERCLEAR|EVERCLEAR|SPIRITS
||FINLANDIA VODKA|FINLANDIA VODKA|SPIRITS
||FLUFFED MARSHMALLOW VODKA|FLUFFED MARSHMALLOW VODKA|SPIRITS
||G'VINE|G'VINE|SPIRITS
||GALLIANO|GALLIANO|SPIRITS
||GENEVER GIN|GENEVER GIN|SPIRITS
